User;Note;Noteur;Feedback
joseph_c;;francois_h;
howard_s;17;david_a;0
francois_h;7;mathieu_c;0
laurent_g;10;mathieu_c;4
didier_f;;adam_e;
clark_k;8;dexter_m;4
nicolas_s;14;michel_r;0
lois_l;;melissa_v;
dexter_m;16;dexter_m;2
adam_e;16;steve_j;3
david_a;11;laurent_g;2
adam_e;;howard_s;
marcel_j;16;leo_g;4
nicolas_s;13;bertrand_y;2
maelle_m;1;howard_s;2
bruce_w;14;roxane_e;0
clark_k;19;moulinette;0
melissa_v;;bruce_w;
dexter_m;6;sandra_n;3
leo_g;;mathieu_c;
marie_c;20;john_w;1
maelle_m;7;nicolas_s;3
lois_l;18;mathieu_c;0
david_a;4;lois_l;1
adam_e;;ludovic_k;
ludovic_k;2;michel_r;4
lois_l;6;clark_k;5
georges_b;2;didier_f;3
georges_b;3;david_a;1
bertrand_y;0;laurent_g;2
nicolas_s;14;john_w;5
sandra_n;6;maelle_m;4
joseph_c;13;jean_t;3
olivier_z;14;sandra_n;5
ludovic_k;;melissa_v;
nicolas_s;;jean_t;
dexter_m;18;bruce_w;0
laurent_g;5;francois_h;1
david_a;18;leo_g;0
howard_s;;howard_s;
john_w;19;michel_r;3
maelle_m;12;jean_t;2
trevor_r;;melissa_v;
roxane_e;12;dexter_m;5
georges_b;17;mathieu_c;5
roxane_e;3;roxane_e;5
adam_e;15;hans_z;3
olivier_z;7;georges_b;2
marcel_j;;lois_l;
trevor_r;;leo_g;
john_w;1;didier_f;0
trevor_r;;olivier_z;
david_a;;david_a;
jean_t;11;francois_h;5
david_a;;didier_f;
lois_l;17;dexter_m;3
leo_g;;hans_z;
marcel_j;;ludovic_k;
mathieu_c;9;nicolas_s;3
marie_c;;howard_s;
john_w;0;jean_t;4
howard_s;14;sandra_n;4
jean_t;11;trevor_r;2
maelle_m;;steve_j;
clark_k;12;lois_l;2
jean_t;;laurent_g;
laurent_g;17;marie_c;4
maelle_m;;marie_c;
clark_k;20;michel_r;4
leo_g;18;georges_b;3
olivier_z;1;clark_k;0
michel_r;3;moulinette;2
hans_z;20;olivier_z;1
mathieu_c;;michel_r;
marie_c;;francois_h;
jean_t;19;moulinette;5
dexter_m;14;david_a;3
dexter_m;;georges_b;
hans_z;13;ludovic_k;5
laurent_g;9;david_a;2
lois_l;7;olivier_z;1
adam_e;;david_a;
jean_t;13;david_a;0
trevor_r;;lois_l;
adam_e;;marcel_j;
marie_c;12;jean_t;1
marie_c;9;ludovic_k;5
david_a;;john_w;
lois_l;17;roxane_e;0
adam_e;;nicolas_s;
maelle_m;2;david_a;3
marcel_j;;olivier_z;
steve_j;2;nicolas_s;1
laurent_g;7;maelle_m;4
steve_j;17;john_w;0
steve_j;;maelle_m;
michel_r;4;marie_c;1
bertrand_y;13;john_w;3
dexter_m;;olivier_z;
ludovic_k;5;david_a;3
john_w;2;leo_g;2
michel_r;8;michel_r;0
ludovic_k;;adam_e;
michel_r;4;steve_j;1
nicolas_s;;trevor_r;
olivier_z;19;lois_l;5
roxane_e;;nicolas_s;
nicolas_s;5;steve_j;3
melissa_v;;hans_z;
adam_e;;bertrand_y;
bruce_w;14;bruce_w;0
olivier_z;16;laurent_g;3
steve_j;19;georges_b;4
laurent_g;;roxane_e;
joseph_c;0;didier_f;2
sandra_n;9;olivier_z;0
clark_k;18;olivier_z;4
mathieu_c;1;marie_c;1
lois_l;;howard_s;
marie_c;;olivier_z;
clark_k;20;leo_g;3
marcel_j;;bruce_w;
roxane_e;13;lois_l;0
hans_z;15;sandra_n;0
steve_j;4;roxane_e;3
david_a;;nicolas_s;
clark_k;;bruce_w;
bertrand_y;;steve_j;
lois_l;10;maelle_m;2
john_w;8;francois_h;2
melissa_v;16;moulinette;5
francois_h;16;sandra_n;3
david_a;9;marcel_j;5
howard_s;2;olivier_z;0
michel_r;6;clark_k;3
nicolas_s;;leo_g;
bertrand_y;17;ludovic_k;2
marie_c;;adam_e;
roxane_e;17;jean_t;4
bertrand_y;;joseph_c;
nicolas_s;;marie_c;
ludovic_k;13;sandra_n;1
bruce_w;;jean_t;
david_a;12;moulinette;5
david_a;;sandra_n;
marcel_j;13;howard_s;3
georges_b;3;roxane_e;2
francois_h;16;hans_z;4
hans_z;6;david_a;5
bruce_w;19;trevor_r;4
olivier_z;3;michel_r;5
georges_b;;nicolas_s;
joseph_c;9;adam_e;1
trevor_r;14;howard_s;2
marcel_j;11;laurent_g;2
michel_r;5;nicolas_s;5
dexter_m;8;leo_g;4
olivier_z;;joseph_c;
howard_s;6;didier_f;0
maelle_m;20;roxane_e;3
howard_s;;mathieu_c;
nicolas_s;20;laurent_g;0
hans_z;1;nicolas_s;3
joseph_c;2;steve_j;2
marie_c;11;dexter_m;4
hans_z;;maelle_m;
bruce_w;;ludovic_k;
trevor_r;16;john_w;0
melissa_v;10;clark_k;3
marcel_j;18;francois_h;2
francois_h;12;leo_g;5
bertrand_y;;adam_e;
olivier_z;4;jean_t;2
michel_r;14;roxane_e;4
mathieu_c;9;trevor_r;3
trevor_r;;steve_j;
bertrand_y;8;melissa_v;0
david_a;6;maelle_m;5
leo_g;18;david_a;3
howard_s;;roxane_e;
sandra_n;3;bertrand_y;5
hans_z;;marcel_j;
jean_t;11;howard_s;3
clark_k;10;melissa_v;5
trevor_r;0;bruce_w;0
leo_g;15;ludovic_k;3
lois_l;7;nicolas_s;4
bruce_w;17;clark_k;1
laurent_g;11;sandra_n;5
dexter_m;11;clark_k;5
roxane_e;19;steve_j;3
francois_h;8;melissa_v;4
melissa_v;1;adam_e;5
clark_k;7;sandra_n;5
georges_b;;howard_s;
laurent_g;16;didier_f;2
bruce_w;5;michel_r;2
howard_s;12;ludovic_k;5
maelle_m;15;didier_f;5
maelle_m;14;lois_l;3
howard_s;13;marcel_j;2
hans_z;8;clark_k;1
hans_z;17;bruce_w;1
leo_g;;john_w;
olivier_z;;marcel_j;
ludovic_k;;steve_j;
sandra_n;3;joseph_c;2
marie_c;;georges_b;
bertrand_y;3;trevor_r;5
howard_s;20;steve_j;2
georges_b;;john_w;
georges_b;8;francois_h;0
trevor_r;;jean_t;
nicolas_s;;dexter_m;
mathieu_c;;ludovic_k;
didier_f;20;hans_z;0
marie_c;4;sandra_n;0
jean_t;13;olivier_z;3
nicolas_s;4;howard_s;3
john_w;17;steve_j;2
adam_e;17;bruce_w;4
trevor_r;;mathieu_c;
clark_k;;marie_c;
clark_k;0;adam_e;5
georges_b;;michel_r;
howard_s;6;john_w;4
bertrand_y;13;dexter_m;2
lois_l;2;john_w;2
olivier_z;9;hans_z;0
mathieu_c;;melissa_v;
laurent_g;14;laurent_g;1
leo_g;;olivier_z;
hans_z;;dexter_m;
nicolas_s;;marcel_j;
adam_e;;trevor_r;
marie_c;17;hans_z;1
didier_f;17;marie_c;2
joseph_c;;leo_g;
bertrand_y;1;jean_t;4
bertrand_y;12;lois_l;3
maelle_m;4;georges_b;3
didier_f;16;clark_k;0
marcel_j;2;john_w;3
mathieu_c;0;roxane_e;0
roxane_e;2;marcel_j;3
francois_h;5;clark_k;5
adam_e;4;lois_l;5
jean_t;;marie_c;
lois_l;4;moulinette;0
trevor_r;7;trevor_r;5
john_w;10;roxane_e;0
ludovic_k;0;maelle_m;3
david_a;1;francois_h;4
roxane_e;9;georges_b;5
francois_h;8;howard_s;3
marcel_j;11;maelle_m;0
roxane_e;;joseph_c;
bruce_w;13;lois_l;4
david_a;1;olivier_z;4
laurent_g;10;olivier_z;0
mathieu_c;;olivier_z;
maelle_m;;melissa_v;
ludovic_k;7;leo_g;3
sandra_n;16;roxane_e;5
ludovic_k;13;joseph_c;3
maelle_m;;adam_e;
clark_k;3;joseph_c;2
hans_z;1;laurent_g;1
marcel_j;12;david_a;1
francois_h;13;bruce_w;3
roxane_e;;leo_g;
dexter_m;14;melissa_v;1
steve_j;;leo_g;
bertrand_y;4;michel_r;0
michel_r;9;hans_z;0
bertrand_y;4;didier_f;1
marcel_j;16;melissa_v;5
mathieu_c;13;hans_z;4
michel_r;;sandra_n;
trevor_r;11;moulinette;2
john_w;;clark_k;
joseph_c;0;joseph_c;4
roxane_e;;maelle_m;
sandra_n;;marcel_j;
leo_g;19;lois_l;2
leo_g;;dexter_m;
nicolas_s;15;clark_k;4
roxane_e;19;olivier_z;3
sandra_n;8;hans_z;0
clark_k;11;david_a;4
bertrand_y;11;bertrand_y;2
ludovic_k;5;olivier_z;4
ludovic_k;10;marie_c;2
nicolas_s;;olivier_z;
john_w;18;dexter_m;0
clark_k;10;howard_s;1
sandra_n;20;dexter_m;4
melissa_v;3;ludovic_k;5
ludovic_k;;clark_k;
olivier_z;16;marie_c;4
jean_t;4;dexter_m;2
marie_c;18;marie_c;2
bertrand_y;;hans_z;
steve_j;;marie_c;
hans_z;16;jean_t;2
georges_b;;marie_c;
mathieu_c;11;steve_j;2
francois_h;6;ludovic_k;0
steve_j;;marcel_j;
ludovic_k;1;ludovic_k;0
bertrand_y;0;georges_b;1
georges_b;;bertrand_y;
john_w;;georges_b;
roxane_e;9;sandra_n;2
didier_f;1;georges_b;1
mathieu_c;9;georges_b;0
olivier_z;1;francois_h;0
clark_k;15;laurent_g;3
marcel_j;20;michel_r;3
lois_l;10;marie_c;1
didier_f;1;moulinette;4
mathieu_c;;didier_f;
maelle_m;;maelle_m;
adam_e;14;dexter_m;1
ludovic_k;0;trevor_r;5
howard_s;0;laurent_g;4
mathieu_c;;dexter_m;
sandra_n;17;didier_f;5
laurent_g;4;leo_g;5
leo_g;6;moulinette;3
lois_l;20;joseph_c;3
hans_z;4;moulinette;1
mathieu_c;8;moulinette;1
sandra_n;;melissa_v;
steve_j;13;bruce_w;4
mathieu_c;;joseph_c;
howard_s;0;moulinette;1
howard_s;18;hans_z;0
marcel_j;;mathieu_c;
sandra_n;8;michel_r;4
maelle_m;14;sandra_n;5
clark_k;;trevor_r;
trevor_r;14;bertrand_y;4
ludovic_k;19;roxane_e;5
nicolas_s;8;adam_e;5
steve_j;3;howard_s;1
marcel_j;2;sandra_n;4
michel_r;;marcel_j;
jean_t;;john_w;
howard_s;19;michel_r;4
didier_f;2;ludovic_k;5
joseph_c;;maelle_m;
dexter_m;9;roxane_e;3
francois_h;1;jean_t;5
francois_h;18;adam_e;1
georges_b;8;jean_t;0
trevor_r;14;dexter_m;4
mathieu_c;20;sandra_n;3
john_w;16;marcel_j;0
ludovic_k;17;marcel_j;2
joseph_c;0;trevor_r;2
francois_h;4;georges_b;0
marie_c;;lois_l;
trevor_r;3;maelle_m;0
hans_z;9;francois_h;4
georges_b;;marcel_j;
adam_e;8;john_w;3
steve_j;;lois_l;
john_w;;nicolas_s;
jean_t;7;bruce_w;0
jean_t;1;marcel_j;5
dexter_m;17;marie_c;5
nicolas_s;;hans_z;
francois_h;13;michel_r;3
david_a;4;adam_e;0
didier_f;;bruce_w;
bruce_w;;nicolas_s;
adam_e;;joseph_c;
clark_k;;bertrand_y;
trevor_r;7;joseph_c;3
maelle_m;13;francois_h;5
bruce_w;9;marcel_j;3
mathieu_c;;adam_e;
adam_e;;michel_r;
dexter_m;20;maelle_m;0
michel_r;19;lois_l;4
jean_t;3;melissa_v;3
francois_h;;marcel_j;
didier_f;12;nicolas_s;1
francois_h;15;didier_f;4
didier_f;7;melissa_v;1
melissa_v;7;joseph_c;4
roxane_e;19;adam_e;3
lois_l;20;hans_z;4
clark_k;15;steve_j;1
adam_e;4;olivier_z;1
trevor_r;;laurent_g;
jean_t;;bertrand_y;
jean_t;3;adam_e;1
bruce_w;;joseph_c;
melissa_v;;steve_j;
joseph_c;11;michel_r;2
francois_h;13;nicolas_s;4
mathieu_c;;lois_l;
maelle_m;12;leo_g;0
leo_g;;michel_r;
laurent_g;6;jean_t;0
georges_b;;olivier_z;
hans_z;9;bertrand_y;1
hans_z;14;marie_c;0
john_w;15;joseph_c;5
howard_s;17;dexter_m;0
adam_e;12;clark_k;1
joseph_c;4;howard_s;5
laurent_g;4;steve_j;1
michel_r;12;trevor_r;0
bruce_w;;francois_h;
michel_r;13;dexter_m;1
bertrand_y;;olivier_z;
laurent_g;;georges_b;
georges_b;;leo_g;
joseph_c;9;bertrand_y;0
john_w;20;david_a;5
leo_g;16;didier_f;4
david_a;;mathieu_c;
leo_g;14;trevor_r;3
steve_j;10;trevor_r;5
roxane_e;;trevor_r;
bruce_w;13;moulinette;1
didier_f;18;mathieu_c;0
trevor_r;;marcel_j;
sandra_n;9;trevor_r;4
howard_s;18;francois_h;0
nicolas_s;10;sandra_n;3
ludovic_k;;bruce_w;
didier_f;11;howard_s;4
maelle_m;12;bertrand_y;4
david_a;;michel_r;
howard_s;;adam_e;
francois_h;;lois_l;
leo_g;;melissa_v;
dexter_m;4;howard_s;1
didier_f;;dexter_m;
georges_b;15;lois_l;3
dexter_m;20;bertrand_y;2
francois_h;;john_w;
maelle_m;10;bruce_w;0
francois_h;;david_a;
bruce_w;;mathieu_c;
marcel_j;;dexter_m;
melissa_v;2;dexter_m;1
nicolas_s;3;ludovic_k;1
howard_s;1;leo_g;3
sandra_n;18;steve_j;0
bruce_w;20;bertrand_y;0
dexter_m;15;john_w;0
marcel_j;0;moulinette;1
maelle_m;2;trevor_r;0
mathieu_c;;maelle_m;
dexter_m;;michel_r;
jean_t;4;roxane_e;1
didier_f;20;laurent_g;5
dexter_m;16;laurent_g;1
steve_j;;francois_h;
clark_k;18;clark_k;1
mathieu_c;;john_w;
leo_g;10;marie_c;3
john_w;;melissa_v;
steve_j;;hans_z;
leo_g;15;laurent_g;4
trevor_r;8;hans_z;2
marcel_j;;clark_k;
dexter_m;10;francois_h;0
dexter_m;5;ludovic_k;2
howard_s;0;lois_l;3
dexter_m;9;nicolas_s;1
trevor_r;17;michel_r;1
howard_s;;marie_c;
didier_f;;david_a;
hans_z;11;mathieu_c;2
hans_z;;didier_f;
ludovic_k;;mathieu_c;
joseph_c;0;mathieu_c;4
sandra_n;14;leo_g;2
bertrand_y;10;david_a;1
francois_h;;marie_c;
leo_g;12;leo_g;2
joseph_c;11;nicolas_s;3
roxane_e;5;moulinette;0
joseph_c;;hans_z;
melissa_v;;georges_b;
jean_t;11;sandra_n;5
marcel_j;3;marcel_j;5
didier_f;;lois_l;
john_w;;hans_z;
david_a;;melissa_v;
didier_f;;roxane_e;
leo_g;4;sandra_n;4
francois_h;8;bertrand_y;5
adam_e;1;maelle_m;0
ludovic_k;11;nicolas_s;5
david_a;;howard_s;
nicolas_s;;roxane_e;
bruce_w;18;adam_e;1
leo_g;;francois_h;
dexter_m;20;hans_z;0
adam_e;6;moulinette;0
michel_r;9;georges_b;4
hans_z;15;howard_s;2
marcel_j;15;georges_b;4
steve_j;4;david_a;2
georges_b;6;moulinette;5
georges_b;5;laurent_g;2
ludovic_k;;bertrand_y;
marie_c;0;joseph_c;0
hans_z;16;georges_b;1
clark_k;7;marcel_j;2
adam_e;15;didier_f;1
roxane_e;17;laurent_g;0
maelle_m;19;hans_z;2
adam_e;10;francois_h;2
lois_l;4;michel_r;1
lois_l;16;trevor_r;3
ludovic_k;2;francois_h;2
francois_h;8;roxane_e;3
nicolas_s;7;melissa_v;2
michel_r;;howard_s;
sandra_n;11;jean_t;4
lois_l;9;leo_g;5
georges_b;1;sandra_n;0
georges_b;2;maelle_m;1
david_a;18;roxane_e;3
steve_j;4;joseph_c;0
lois_l;19;francois_h;0
maelle_m;;laurent_g;
hans_z;;leo_g;
david_a;;bertrand_y;
melissa_v;;sandra_n;
roxane_e;;mathieu_c;
ludovic_k;19;laurent_g;0
bruce_w;1;david_a;5
jean_t;8;jean_t;0
sandra_n;;bruce_w;
marie_c;;roxane_e;
mathieu_c;13;mathieu_c;3
melissa_v;;lois_l;
melissa_v;17;olivier_z;5
laurent_g;3;john_w;4
roxane_e;11;david_a;0
olivier_z;7;bertrand_y;1
maelle_m;17;mathieu_c;3
adam_e;1;sandra_n;0
john_w;;maelle_m;
olivier_z;3;john_w;3
howard_s;11;joseph_c;1
trevor_r;3;david_a;4
hans_z;;steve_j;
nicolas_s;3;nicolas_s;5
john_w;11;adam_e;4
didier_f;8;sandra_n;1
roxane_e;14;ludovic_k;3
bruce_w;;howard_s;
olivier_z;;melissa_v;
didier_f;3;michel_r;0
bertrand_y;;mathieu_c;
bruce_w;15;leo_g;2
nicolas_s;19;moulinette;1
bertrand_y;0;bruce_w;5
sandra_n;16;georges_b;3
steve_j;4;dexter_m;1
jean_t;4;didier_f;3
laurent_g;12;bruce_w;2
maelle_m;16;dexter_m;0
nicolas_s;;mathieu_c;
bruce_w;8;olivier_z;1
georges_b;8;joseph_c;2
bruce_w;4;hans_z;3
olivier_z;;olivier_z;
didier_f;19;john_w;4
laurent_g;;lois_l;
john_w;4;trevor_r;2
roxane_e;0;clark_k;1
joseph_c;2;clark_k;3
didier_f;17;maelle_m;1
sandra_n;10;moulinette;0
mathieu_c;11;laurent_g;4
nicolas_s;14;bruce_w;1
laurent_g;0;nicolas_s;5
laurent_g;;trevor_r;
georges_b;15;clark_k;4
maelle_m;12;marcel_j;0
howard_s;14;georges_b;2
jean_t;;hans_z;
david_a;8;hans_z;3
howard_s;;maelle_m;
lois_l;10;lois_l;0
melissa_v;2;trevor_r;1
lois_l;11;laurent_g;5
ludovic_k;17;georges_b;2
trevor_r;8;roxane_e;1
bertrand_y;;marcel_j;
georges_b;10;melissa_v;0
bertrand_y;;roxane_e;
trevor_r;0;georges_b;1
francois_h;;olivier_z;
olivier_z;8;bruce_w;2
lois_l;;jean_t;
john_w;10;moulinette;2
michel_r;;didier_f;
melissa_v;1;marie_c;3
trevor_r;7;sandra_n;2
francois_h;;dexter_m;
howard_s;;trevor_r;
steve_j;8;sandra_n;1
john_w;;laurent_g;
steve_j;6;moulinette;3
francois_h;;maelle_m;
marcel_j;4;hans_z;0
francois_h;15;moulinette;4
howard_s;4;clark_k;4
marie_c;9;laurent_g;1
adam_e;1;mathieu_c;5
bertrand_y;3;leo_g;5
ludovic_k;;lois_l;
laurent_g;19;dexter_m;0
roxane_e;4;marie_c;2
olivier_z;16;howard_s;0
leo_g;2;howard_s;5
bruce_w;;didier_f;
john_w;0;john_w;1
marcel_j;10;bertrand_y;0
michel_r;5;mathieu_c;3
lois_l;12;adam_e;4
marcel_j;12;roxane_e;2
georges_b;19;trevor_r;5
michel_r;;john_w;
joseph_c;;olivier_z;
olivier_z;3;didier_f;3
bruce_w;17;melissa_v;1
marie_c;10;mathieu_c;1
lois_l;;bruce_w;
michel_r;2;david_a;5
joseph_c;15;roxane_e;3
trevor_r;14;marie_c;5
adam_e;;melissa_v;
mathieu_c;6;jean_t;3
melissa_v;4;jean_t;2
didier_f;;trevor_r;
nicolas_s;12;lois_l;4
leo_g;;marcel_j;
lois_l;10;bertrand_y;3
joseph_c;;ludovic_k;
lois_l;;steve_j;
bruce_w;14;dexter_m;3
joseph_c;4;sandra_n;1
john_w;;marie_c;
adam_e;6;roxane_e;3
clark_k;14;mathieu_c;3
joseph_c;;marcel_j;
olivier_z;;dexter_m;
sandra_n;16;francois_h;0
jean_t;4;clark_k;4
sandra_n;18;lois_l;1
olivier_z;3;moulinette;0
steve_j;8;laurent_g;3
maelle_m;;ludovic_k;
sandra_n;;sandra_n;
mathieu_c;20;leo_g;1
jean_t;0;maelle_m;4
sandra_n;3;ludovic_k;4
clark_k;7;didier_f;4
maelle_m;20;olivier_z;3
sandra_n;10;clark_k;5
olivier_z;2;maelle_m;0
joseph_c;14;marie_c;5
melissa_v;;laurent_g;
dexter_m;;joseph_c;
jean_t;;mathieu_c;
steve_j;17;melissa_v;4
jean_t;20;leo_g;0
roxane_e;;francois_h;
michel_r;2;joseph_c;3
mathieu_c;;marcel_j;
david_a;5;joseph_c;3
hans_z;;michel_r;
sandra_n;18;mathieu_c;0
laurent_g;6;adam_e;0
georges_b;15;ludovic_k;5
melissa_v;20;francois_h;0
ludovic_k;3;dexter_m;3
michel_r;4;maelle_m;4
marcel_j;6;didier_f;4
sandra_n;13;howard_s;4
trevor_r;10;clark_k;2
lois_l;13;david_a;5
howard_s;;jean_t;
lois_l;12;ludovic_k;1
didier_f;15;leo_g;2
francois_h;13;trevor_r;0
jean_t;;joseph_c;
nicolas_s;7;joseph_c;0
melissa_v;3;michel_r;0
sandra_n;10;laurent_g;5
hans_z;;john_w;
didier_f;;jean_t;
melissa_v;;marcel_j;
michel_r;2;leo_g;4
howard_s;;bruce_w;
georges_b;;bruce_w;
melissa_v;;roxane_e;
joseph_c;0;moulinette;4
bruce_w;19;sandra_n;2
laurent_g;14;bertrand_y;3
michel_r;;olivier_z;
joseph_c;3;laurent_g;2
didier_f;5;bertrand_y;2
hans_z;1;lois_l;0
jean_t;3;georges_b;4
jean_t;6;ludovic_k;0
melissa_v;6;john_w;2
laurent_g;13;marcel_j;3
bertrand_y;;sandra_n;
hans_z;14;trevor_r;2
sandra_n;0;adam_e;4
melissa_v;20;didier_f;4
georges_b;20;adam_e;2
hans_z;11;roxane_e;1
melissa_v;11;mathieu_c;3
michel_r;6;adam_e;3
steve_j;7;ludovic_k;4
olivier_z;;leo_g;
joseph_c;;dexter_m;
howard_s;4;bertrand_y;3
dexter_m;11;trevor_r;0
ludovic_k;17;howard_s;4
laurent_g;;howard_s;
olivier_z;;david_a;
melissa_v;19;howard_s;0
olivier_z;2;adam_e;0
ludovic_k;;hans_z;
roxane_e;14;melissa_v;5
leo_g;0;clark_k;0
howard_s;;melissa_v;
marie_c;7;moulinette;0
marie_c;16;maelle_m;3
joseph_c;;lois_l;
clark_k;1;roxane_e;0
bruce_w;5;laurent_g;1
melissa_v;7;david_a;5
adam_e;17;laurent_g;0
clark_k;9;john_w;0
dexter_m;5;didier_f;5
didier_f;;marcel_j;
steve_j;4;didier_f;0
lois_l;8;sandra_n;4
laurent_g;;hans_z;
steve_j;8;bertrand_y;0
john_w;;olivier_z;
marie_c;4;michel_r;4
olivier_z;5;mathieu_c;2
mathieu_c;1;clark_k;4
david_a;17;dexter_m;0
marcel_j;12;joseph_c;5
dexter_m;3;mathieu_c;0
bruce_w;15;maelle_m;2
trevor_r;18;didier_f;0
melissa_v;6;maelle_m;3
trevor_r;5;francois_h;2
john_w;1;howard_s;0
leo_g;;roxane_e;
hans_z;18;joseph_c;0
marcel_j;10;nicolas_s;1
mathieu_c;4;bertrand_y;3
laurent_g;19;michel_r;1
bruce_w;;georges_b;
laurent_g;16;melissa_v;4
john_w;19;sandra_n;4
georges_b;;dexter_m;
marcel_j;;steve_j;
dexter_m;7;adam_e;3
melissa_v;7;nicolas_s;1
dexter_m;8;marcel_j;0
marie_c;19;melissa_v;5
roxane_e;9;michel_r;5
marie_c;;david_a;
trevor_r;18;adam_e;4
jean_t;19;lois_l;4
maelle_m;9;joseph_c;1
mathieu_c;11;francois_h;0
marcel_j;14;adam_e;1
roxane_e;;hans_z;
john_w;5;lois_l;0
nicolas_s;;francois_h;
clark_k;;ludovic_k;
dexter_m;16;lois_l;3
steve_j;15;jean_t;2
hans_z;;adam_e;
dexter_m;;jean_t;
marie_c;5;marcel_j;4
leo_g;;jean_t;
olivier_z;7;steve_j;1
ludovic_k;13;moulinette;4
lois_l;3;georges_b;2
didier_f;1;didier_f;1
ludovic_k;;john_w;
clark_k;1;jean_t;5
mathieu_c;19;david_a;2
howard_s;;nicolas_s;
laurent_g;17;joseph_c;4
marie_c;;leo_g;
michel_r;16;francois_h;0
michel_r;;melissa_v;
mathieu_c;;bruce_w;
nicolas_s;;didier_f;
dexter_m;;steve_j;
didier_f;5;francois_h;4
leo_g;12;maelle_m;2
adam_e;13;adam_e;1
steve_j;7;steve_j;4
olivier_z;17;nicolas_s;2
leo_g;;joseph_c;
joseph_c;14;melissa_v;2
leo_g;;nicolas_s;
bertrand_y;10;clark_k;3
georges_b;15;georges_b;5
melissa_v;1;bertrand_y;4
mathieu_c;12;howard_s;2
michel_r;;ludovic_k;
marcel_j;;jean_t;
roxane_e;13;john_w;3
michel_r;18;laurent_g;5
steve_j;1;clark_k;2
leo_g;;bruce_w;
david_a;;steve_j;
clark_k;14;hans_z;3
david_a;;georges_b;
marcel_j;12;trevor_r;0
joseph_c;;bruce_w;
steve_j;10;mathieu_c;2
maelle_m;18;michel_r;2
nicolas_s;5;david_a;0
hans_z;6;hans_z;2
maelle_m;16;john_w;5
jean_t;;michel_r;
john_w;7;mathieu_c;5
jean_t;;steve_j;
jean_t;3;nicolas_s;2
marcel_j;;marie_c;
georges_b;11;steve_j;3
olivier_z;;ludovic_k;
sandra_n;12;john_w;4
sandra_n;5;david_a;1
john_w;6;bertrand_y;4
john_w;;bruce_w;
melissa_v;13;leo_g;0
francois_h;12;laurent_g;0
melissa_v;;melissa_v;
laurent_g;2;moulinette;1
marie_c;19;bertrand_y;1
joseph_c;5;david_a;4
trevor_r;1;nicolas_s;2
roxane_e;0;bertrand_y;1
olivier_z;17;roxane_e;1
adam_e;5;leo_g;1
bertrand_y;;marie_c;
laurent_g;;ludovic_k;
laurent_g;7;clark_k;2
michel_r;10;bertrand_y;2
lois_l;;didier_f;
marie_c;;didier_f;
didier_f;15;olivier_z;0
trevor_r;2;ludovic_k;2
marie_c;14;trevor_r;0
joseph_c;;john_w;
steve_j;15;olivier_z;2
clark_k;20;francois_h;5
nicolas_s;4;maelle_m;0
bertrand_y;20;moulinette;2
steve_j;5;adam_e;5
bertrand_y;7;francois_h;2
roxane_e;18;bruce_w;2
roxane_e;13;didier_f;5
david_a;;jean_t;
steve_j;15;michel_r;5
david_a;16;bruce_w;3
hans_z;3;melissa_v;5
clark_k;;nicolas_s;
maelle_m;4;moulinette;3
roxane_e;19;howard_s;3
didier_f;5;joseph_c;2
ludovic_k;20;jean_t;1
sandra_n;9;marie_c;5
bertrand_y;2;maelle_m;1
bruce_w;;steve_j;
leo_g;7;steve_j;0
david_a;;marie_c;
maelle_m;;clark_k;
marie_c;;nicolas_s;
leo_g;6;bertrand_y;0
leo_g;17;adam_e;4
francois_h;8;joseph_c;5
adam_e;;marie_c;
john_w;6;ludovic_k;3
francois_h;5;steve_j;0
nicolas_s;19;georges_b;0
adam_e;13;georges_b;4
sandra_n;;nicolas_s;
georges_b;4;hans_z;2
bruce_w;15;john_w;3
olivier_z;;trevor_r;
michel_r;;bruce_w;
bertrand_y;13;howard_s;0
dexter_m;13;moulinette;4
lois_l;5;marcel_j;1
clark_k;15;georges_b;3
bruce_w;7;marie_c;3
david_a;2;clark_k;3
francois_h;12;francois_h;1
clark_k;19;maelle_m;3
michel_r;;jean_t;
ludovic_k;;didier_f;
joseph_c;20;georges_b;3
marie_c;;bruce_w;
marie_c;;clark_k;
didier_f;9;steve_j;5
david_a;;trevor_r;
david_a;;ludovic_k;
marie_c;9;steve_j;3
adam_e;9;jean_t;0
bertrand_y;18;nicolas_s;4
